% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_5leite_desnato_S21,im:cap1_copo2_0_5leite_desnato_S21,re:cap1_copo2_0_5leite_semi_desnato_S21,im:cap1_copo2_0_5leite_semi_desnato_S21,re:cap1_copo2_0_5leite_integral_S21,im:cap1_copo2_0_5leite_integral_S21,
1.380000000000000E+009,-6.491914050475056E-001,-7.220188801971921E-001,-6.489425881489200E-001,-7.204127280829862E-001,-6.475570209808351E-001,-7.230907112731935E-001,-6.491562825063050E-001,-7.219803435345834E-001,
1.385000000000000E+009,-6.553024324893506E-001,-7.160273219304139E-001,-6.550295505403769E-001,-7.143960449981939E-001,-6.536357395896913E-001,-7.171108366699219E-001,-6.553290675229964E-001,-7.159705563399421E-001,
1.390000000000000E+009,-6.617367797310622E-001,-7.097204513680026E-001,-6.613611632884522E-001,-7.081226100209004E-001,-6.600715758590700E-001,-7.108045100479128E-001,-6.617454582594113E-001,-7.097268794830693E-001,
1.395000000000000E+009,-6.679289258262142E-001,-7.032846665882051E-001,-6.676665703879530E-001,-7.016338774087330E-001,-6.663773791923524E-001,-7.043875414314271E-001,-6.679456659026348E-001,-7.032781555063850E-001,
1.400000000000000E+009,-6.740505419119506E-001,-6.964956855191133E-001,-6.737156185749502E-001,-6.948210719256514E-001,-6.724293102302552E-001,-6.976851202850343E-001,-6.740273574779108E-001,-6.964506615055091E-001,
1.405000000000000E+009,-6.801128384917324E-001,-6.907386429418274E-001,-6.797529934995791E-001,-6.889531960772571E-001,-6.785710044822694E-001,-6.918520564231875E-001,-6.800935897165102E-001,-6.906653881863010E-001,
1.410000000000000E+009,-6.867260028609686E-001,-6.844399894757626E-001,-6.864351747141000E-001,-6.825452330881929E-001,-6.852160221252441E-001,-6.855559818801882E-001,-6.867420962702464E-001,-6.843177625397179E-001,
1.415000000000000E+009,-6.923267162033071E-001,-6.777712357959180E-001,-6.919186167571463E-001,-6.758517359831040E-001,-6.908180533638003E-001,-6.788964101982118E-001,-6.923229792818036E-001,-6.776704415194320E-001,
1.420000000000000E+009,-6.986809979991432E-001,-6.710542346243884E-001,-6.982598440878475E-001,-6.691808230359648E-001,-6.971703057212831E-001,-6.721910986671449E-001,-6.985909175266830E-001,-6.710398591061773E-001,
1.425000000000000E+009,-7.037807045209454E-001,-6.645367783549404E-001,-7.032246449346027E-001,-6.626227569133999E-001,-7.021834155845644E-001,-6.656742692909242E-001,-7.037619566185936E-001,-6.644682554627177E-001,
1.430000000000000E+009,-7.095507617724878E-001,-6.584187819204840E-001,-7.089118250677219E-001,-6.566435210945703E-001,-7.079996136703493E-001,-6.596025926818850E-001,-7.095077198746205E-001,-6.583984866825606E-001,
1.435000000000000E+009,-7.149589842179737E-001,-6.521069451142872E-001,-7.143109947926363E-001,-6.502807488584862E-001,-7.133637546195986E-001,-6.532316931381227E-001,-7.149340599434499E-001,-6.519970245055837E-001,
1.440000000000000E+009,-7.198381971917748E-001,-6.456896099179086E-001,-7.190802109415050E-001,-6.439849707426089E-001,-7.182509803390504E-001,-6.469421803512575E-001,-7.198046589388901E-001,-6.456816880149023E-001,
1.445000000000000E+009,-7.250985006107481E-001,-6.399278407592329E-001,-7.243697185205000E-001,-6.382996547330369E-001,-7.234860661087037E-001,-6.412399521713258E-001,-7.250501719423125E-001,-6.399123584949416E-001,
1.450000000000000E+009,-7.307791177710072E-001,-6.336903875297600E-001,-7.300676582247982E-001,-6.321480978470500E-001,-7.292325363121035E-001,-6.350696116218569E-001,-7.307246692881482E-001,-6.337064799066635E-001,
1.455000000000000E+009,-7.362091413338460E-001,-6.274605451277246E-001,-7.355690009121897E-001,-6.259685468651987E-001,-7.347543796157839E-001,-6.288625098724365E-001,-7.362133077964108E-001,-6.274328857833340E-001,
1.460000000000000E+009,-7.407527039671985E-001,-6.221203712987143E-001,-7.401117137441464E-001,-6.206405305765099E-001,-7.392932864341738E-001,-6.236139380836487E-001,-7.407473434553356E-001,-6.221271194864017E-001,
1.465000000000000E+009,-7.461300873579615E-001,-6.163136301405408E-001,-7.456223682237330E-001,-6.147879449593512E-001,-7.448123471984866E-001,-6.177217986450195E-001,-7.461646039000515E-001,-6.162282781726131E-001,
1.470000000000000E+009,-7.516938381531615E-001,-6.100679869056094E-001,-7.511782433247343E-001,-6.084955238213600E-001,-7.503380865554812E-001,-6.115192062034608E-001,-7.516906184822854E-001,-6.100117967865394E-001,
1.475000000000000E+009,-7.563059011895630E-001,-6.041746582904776E-001,-7.557180901455801E-001,-6.024733444782723E-001,-7.549868295059206E-001,-6.055556523284914E-001,-7.563091997752344E-001,-6.040718474729298E-001,
1.480000000000000E+009,-7.617924228164268E-001,-5.972933933557925E-001,-7.612902355954293E-001,-5.955900469289979E-001,-7.604772393150332E-001,-5.985939211502076E-001,-7.617854963889679E-001,-5.971807221470065E-001,
1.485000000000000E+009,-7.667944445624974E-001,-5.914660487836980E-001,-7.661743380435480E-001,-5.898112161507894E-001,-7.655046076736453E-001,-5.927863242759706E-001,-7.667958350286627E-001,-5.913759441425410E-001,
1.490000000000000E+009,-7.723887872514933E-001,-5.846763642502412E-001,-7.717917314649017E-001,-5.829124815729935E-001,-7.711802241287235E-001,-5.860347131271364E-001,-7.724457807870137E-001,-5.846075458043616E-001,
1.495000000000000E+009,-7.773149718566008E-001,-5.775121290108854E-001,-7.766491536853445E-001,-5.757833412009975E-001,-7.759576245460512E-001,-5.789343904380799E-001,-7.773576878452472E-001,-5.774472645314223E-001,
1.500000000000000E+009,-7.825967695961299E-001,-5.706952262996727E-001,-7.819159092702843E-001,-5.689619563409590E-001,-7.813134066200258E-001,-5.721400283012391E-001,-7.825900935264178E-001,-5.706660223357792E-001,
1.505000000000000E+009,-7.869237953818191E-001,-5.640391547295354E-001,-7.862366869782965E-001,-5.621843145222754E-001,-7.855759151382448E-001,-5.653986774482729E-001,-7.869107087057852E-001,-5.639625309004799E-001,
1.510000000000000E+009,-7.915083482693519E-001,-5.574108898885476E-001,-7.906821442805290E-001,-5.555862605006973E-001,-7.902055675277713E-001,-5.587798474311829E-001,-7.915117625310832E-001,-5.574128139538637E-001,
1.515000000000000E+009,-7.966490876787170E-001,-5.504314094583138E-001,-7.958384720145963E-001,-5.485006042036722E-001,-7.952928157501222E-001,-5.517596460266114E-001,-7.966504206497053E-001,-5.503955875317652E-001,
1.520000000000000E+009,-8.010984657140139E-001,-5.438076597643106E-001,-8.001929802956228E-001,-5.418171889860076E-001,-7.997505303153993E-001,-5.451078882217408E-001,-8.011110140950986E-001,-5.437317896681383E-001,
1.525000000000000E+009,-8.053445481119194E-001,-5.370792647595891E-001,-8.042845599307418E-001,-5.351129408684796E-001,-8.039854214057923E-001,-5.383525035705568E-001,-8.053059266682562E-001,-5.370482031027335E-001,
1.530000000000000E+009,-8.093624082961818E-001,-5.299297848795572E-001,-8.082557488269734E-001,-5.278932925888488E-001,-8.079897481117251E-001,-5.312417365074159E-001,-8.093686784680065E-001,-5.298726652833719E-001,
1.535000000000000E+009,-8.132417853819686E-001,-5.230383398975420E-001,-8.120127899108139E-001,-5.209591193363048E-001,-8.118542872695926E-001,-5.241569276199342E-001,-8.132616090736511E-001,-5.229458331267978E-001,
1.540000000000000E+009,-8.167777250269988E-001,-5.163460551337192E-001,-8.152973836345518E-001,-5.141042766593571E-001,-8.152375664863589E-001,-5.175078472862245E-001,-8.167666060221144E-001,-5.162584252730795E-001,
1.545000000000000E+009,-8.203458661156137E-001,-5.090967297253037E-001,-8.185090902990868E-001,-5.069970991415334E-001,-8.187196881980898E-001,-5.102935778236390E-001,-8.202526913586666E-001,-5.090147312051153E-001,
1.550000000000000E+009,-8.232221654989115E-001,-5.023682920798422E-001,-8.212378799142572E-001,-5.004091534816639E-001,-8.214997137908937E-001,-5.036011414337159E-001,-8.231661728450130E-001,-5.023543742583443E-001,
