% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap3_copo1_air_S21,im:cap3_copo1_air_S21,re:cap3_copo1_water_S21,im:cap3_copo1_water_S21,re:cap3_copo1_0_1plstc_S21,im:cap3_copo1_0_1plstc_S21,re:cap3_copo1_0_5plstc_S21,im:cap3_copo1_0_5plstc_S21,re:cap3_copo1_1plstc_S21,im:cap3_copo1_1plstc_S21,
1.250000000000000E+009,-4.794120192527771E-001,-8.458147644996643E-001,-4.592086266494295E-001,-8.527893604791262E-001,-4.784995034931333E-001,-8.456677252621567E-001,-4.790109622144765E-001,-8.456256920536027E-001,-4.792407502174378E-001,-8.456635655403140E-001,-4.793192214682378E-001,-8.457364202649209E-001,
1.255000000000000E+009,-4.866965115070343E-001,-8.419076800346375E-001,-4.673354854638063E-001,-8.488990161341861E-001,-4.858816121348737E-001,-8.417767273768020E-001,-4.864377272218552E-001,-8.417452612962770E-001,-4.866869909286500E-001,-8.417998709678651E-001,-4.867322499941214E-001,-8.417987435458934E-001,
1.260000000000000E+009,-4.947127699851990E-001,-8.371345400810242E-001,-4.759306101673738E-001,-8.440092856416323E-001,-4.938163045659597E-001,-8.369296315442760E-001,-4.944407897369995E-001,-8.368589135165893E-001,-4.946506102561952E-001,-8.369175381660464E-001,-4.947064249036408E-001,-8.369345263639254E-001,
1.265000000000000E+009,-5.011665821075440E-001,-8.334280848503113E-001,-4.829320915602265E-001,-8.402523140257876E-001,-5.002609053829712E-001,-8.332059406631411E-001,-5.008491906587795E-001,-8.331581884858011E-001,-5.010594335556031E-001,-8.332121227264405E-001,-5.011189078194684E-001,-8.332123471418050E-001,
1.270000000000000E+009,-5.087497830390930E-001,-8.285424709320068E-001,-4.910668003830719E-001,-8.356558570573122E-001,-5.078386277513716E-001,-8.286332939984349E-001,-5.083570672207550E-001,-8.285422009195940E-001,-5.086299103736878E-001,-8.286358386993410E-001,-5.086543724495254E-001,-8.286393975555872E-001,
1.275000000000000E+009,-5.150996446609497E-001,-8.243013620376587E-001,-4.979639118668672E-001,-8.311806604009707E-001,-5.142626922773239E-001,-8.242096120563036E-001,-5.147941860285972E-001,-8.241221921324364E-001,-5.150001734733583E-001,-8.241298986434940E-001,-5.150613594747939E-001,-8.241767709842004E-001,
1.280000000000000E+009,-5.217379331588745E-001,-8.197955489158630E-001,-5.051596160127260E-001,-8.267527767332155E-001,-5.209188278718706E-001,-8.197588541163349E-001,-5.214701083719412E-001,-8.196226069353612E-001,-5.216944524765015E-001,-8.196271900177002E-001,-5.217955829562463E-001,-8.197217333024434E-001,
1.285000000000000E+009,-5.283304452896118E-001,-8.154886960983276E-001,-5.122634290531922E-001,-8.225603245403750E-001,-5.275754328828509E-001,-8.155054707992231E-001,-5.280807438892381E-001,-8.153845158663351E-001,-5.282552524566652E-001,-8.154120795249941E-001,-5.284179187706961E-001,-8.155066034354747E-001,
1.290000000000000E+009,-5.352938771247864E-001,-8.108019232749939E-001,-5.195372198866577E-001,-8.177243174709781E-001,-5.343446055486004E-001,-8.107919904585461E-001,-5.349116593011601E-001,-8.106575761224302E-001,-5.351154336929321E-001,-8.106697084426882E-001,-5.351671492120675E-001,-8.106782924593756E-001,
1.295000000000000E+009,-5.413315892219544E-001,-8.060269355773926E-001,-5.261197331694641E-001,-8.130685776627810E-001,-5.405149097342078E-001,-8.060796041277195E-001,-5.409949693526024E-001,-8.059861378422858E-001,-5.411888903617859E-001,-8.059746612548828E-001,-5.412971590127625E-001,-8.060225777607928E-001,
1.300000000000000E+009,-5.478811860084534E-001,-8.010786771774292E-001,-5.331082805540772E-001,-8.080611848468020E-001,-5.470575237735220E-001,-8.011218612380318E-001,-5.475828565283614E-001,-8.009864095534840E-001,-5.477468338966371E-001,-8.010428712844849E-001,-5.478831071739445E-001,-8.010110280280666E-001,
