% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap3_duto1_air_S21,im:Cap3_duto1_air_S21,re:Cap3_duto1_air_water1_S21,im:Cap3_duto1_air_water1_S21,re:Cap3_duto1_1plstc_S21,im:Cap3_duto1_1plstc_S21,re:Cap3_duto1_0_1plstc_S21,im:Cap3_duto1_0_1plstc_S21,re:Cap3_duto1_0_5plstc_S21,im:Cap3_duto1_0_5plstc_S21,
1.220000000000000E+009,-4.168680491768242E-001,-8.764814776191553E-001,-4.126423740009309E-001,-8.778627399964908E-001,-4.168076129547856E-001,-8.768237414612143E-001,-4.168882166640965E-001,-8.764728672935442E-001,-4.168738697021112E-001,-8.765633190701301E-001,-4.168448771767450E-001,-8.764615150131677E-001,
1.225000000000000E+009,-4.255964700388545E-001,-8.728027282752736E-001,-4.215549847500611E-001,-8.742514386274721E-001,-4.254842835019249E-001,-8.731033464544251E-001,-4.255816152609106E-001,-8.728659649025412E-001,-4.255593404524489E-001,-8.729322616177780E-001,-4.255116391873424E-001,-8.728222918825930E-001,
1.230000000000000E+009,-4.336563682518146E-001,-8.685084698565011E-001,-4.299022491811372E-001,-8.699659759974672E-001,-4.336037709307974E-001,-8.688178904421330E-001,-4.336485408428180E-001,-8.685371885903487E-001,-4.336543373434569E-001,-8.686047386788793E-001,-4.335688103928401E-001,-8.685309901928562E-001,
1.235000000000000E+009,-4.419419029101745E-001,-8.646144414512276E-001,-4.383514227050019E-001,-8.659981431596378E-001,-4.419008734438077E-001,-8.649092510343415E-001,-4.419930535927834E-001,-8.646383583907699E-001,-4.419429430121216E-001,-8.647063639996327E-001,-4.419167914406809E-001,-8.645812439506391E-001,
1.240000000000000E+009,-4.502990186053610E-001,-8.599219369298055E-001,-4.469459432246400E-001,-8.613120900740053E-001,-4.502523783679676E-001,-8.602984705759285E-001,-4.503939231120696E-001,-8.600073190875753E-001,-4.502930211794997E-001,-8.600416357071027E-001,-4.502586204806052E-001,-8.600048914021902E-001,
1.245000000000000E+009,-4.587711340306341E-001,-8.557903703471075E-001,-4.556624134580232E-001,-8.571915366082765E-001,-4.587565952163917E-001,-8.561398284029205E-001,-4.588696866453600E-001,-8.558541671278080E-001,-4.587993814351806E-001,-8.559257067211907E-001,-4.587435946137785E-001,-8.557997617143006E-001,
1.250000000000000E+009,-4.665015860441100E-001,-8.516680581978576E-001,-4.635167938621522E-001,-8.530611777601627E-001,-4.665234044720232E-001,-8.520375526683836E-001,-4.665773628302133E-001,-8.517915611732513E-001,-4.665407455370971E-001,-8.518447349925280E-001,-4.665045169123769E-001,-8.516871968833366E-001,
1.255000000000000E+009,-4.744109465144605E-001,-8.478104156055775E-001,-4.715421718184664E-001,-8.491722016448977E-001,-4.744065721926480E-001,-8.481366132300623E-001,-4.744317005096745E-001,-8.478301557326611E-001,-4.743678127999029E-001,-8.479381894462245E-001,-4.743370734303093E-001,-8.478138475011657E-001,
1.260000000000000E+009,-4.827981476710024E-001,-8.430245141037387E-001,-4.801259929030610E-001,-8.443163088658144E-001,-4.828078568282409E-001,-8.433035196043937E-001,-4.828652601115619E-001,-8.430339262765914E-001,-4.828073285515891E-001,-8.431148560903001E-001,-4.827573528436729E-001,-8.430011683006687E-001,
1.265000000000000E+009,-4.896371326712532E-001,-8.393285555751850E-001,-4.870729251195528E-001,-8.406185067973330E-001,-4.897187787712934E-001,-8.395798796199706E-001,-4.897270628681003E-001,-8.393587858482590E-001,-4.896548355666139E-001,-8.393893319060682E-001,-4.896367164066960E-001,-8.392617797595880E-001,
