% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap2_copo1_0_1plstc_S21,im:cap2_copo1_0_1plstc_S21,re:cap2_copo1_0_5plstc_S21,im:cap2_copo1_0_5plstc_S21,re:cap2_copo1_1plstc_S21,im:cap2_copo1_1plstc_S21,
1.535000000000000E+009,-8.125945658330845E-001,-5.243633127074765E-001,-8.126088051382685E-001,-5.256668331404446E-001,-8.121100660958107E-001,-5.254319188918224E-001,-8.126456612391796E-001,-5.243507024435372E-001,
1.540000000000000E+009,-8.163879398291819E-001,-5.178816039863078E-001,-8.164105646392784E-001,-5.192144339949285E-001,-8.159878821716883E-001,-5.188396910886773E-001,-8.164997908005562E-001,-5.178506655803772E-001,
1.545000000000000E+009,-8.204042122980417E-001,-5.106654901076451E-001,-8.203864427375649E-001,-5.119500923838156E-001,-8.200010324833943E-001,-5.116976096893490E-001,-8.204033529334726E-001,-5.105833405434748E-001,
1.550000000000000E+009,-8.238053288834576E-001,-5.038662183398641E-001,-8.237790876812550E-001,-5.052542933384289E-001,-8.233838696563038E-001,-5.048999338965095E-001,-8.238358275641124E-001,-5.038198453099565E-001,
1.555000000000000E+009,-8.274105004779214E-001,-4.968613593267038E-001,-8.273548962512725E-001,-4.982696916498293E-001,-8.270065022875486E-001,-4.979174401461063E-001,-8.273768833412031E-001,-4.968395212541777E-001,
1.560000000000000E+009,-8.308120823095562E-001,-4.896062841551703E-001,-8.308593388594545E-001,-4.909407687186551E-001,-8.304654577482368E-001,-4.906412174562663E-001,-8.309043792800636E-001,-4.895123626968452E-001,
1.565000000000000E+009,-8.344494930907015E-001,-4.820403666768549E-001,-8.344684679829134E-001,-4.835130533597477E-001,-8.340625176343692E-001,-4.831170816522711E-001,-8.344490865695161E-001,-4.819923205427665E-001,
1.570000000000000E+009,-8.379261817420900E-001,-4.746924734100584E-001,-8.379958714008164E-001,-4.761390745379455E-001,-8.375232423465083E-001,-4.757564684720430E-001,-8.378580930049222E-001,-4.746861471649372E-001,
1.575000000000000E+009,-8.408095118420772E-001,-4.677134660297828E-001,-8.408795487420374E-001,-4.690731965702973E-001,-8.404227883314376E-001,-4.686779032387101E-001,-8.408106357129787E-001,-4.676496601331296E-001,
1.580000000000000E+009,-8.436803575904558E-001,-4.608854447148353E-001,-8.437197669129462E-001,-4.623491292246331E-001,-8.432956369074842E-001,-4.618763199112367E-001,-8.436413039969628E-001,-4.609083593091014E-001,
