% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.405000000000000E+009,-6.866159238133669E-001,-6.933352105171021E-001,-6.859838129943896E-001,-6.936591299465702E-001,-6.860435605049133E-001,-6.935318708419800E-001,-6.863248446846010E-001,-6.936178975677492E-001,-6.865863410949709E-001,-6.933955866813661E-001,
1.410000000000000E+009,-6.929600212417238E-001,-6.870519900739748E-001,-6.923313113283852E-001,-6.873808510683860E-001,-6.924443840980530E-001,-6.873891353607178E-001,-6.926575756073000E-001,-6.873283969879152E-001,-6.929042257308959E-001,-6.870109624862671E-001,
1.415000000000000E+009,-6.990872885975527E-001,-6.806995166768312E-001,-6.984250327197834E-001,-6.811790770593638E-001,-6.984404921531677E-001,-6.812459230422974E-001,-6.987259833908082E-001,-6.810355917167665E-001,-6.991041028976442E-001,-6.807673542022706E-001,
1.420000000000000E+009,-7.049478342008485E-001,-6.743182022110477E-001,-7.042778774843477E-001,-6.747650344868510E-001,-7.044795155525208E-001,-6.745539903640747E-001,-7.046396183586122E-001,-6.746448797798159E-001,-7.049382831573487E-001,-6.743211815834046E-001,
1.425000000000000E+009,-7.110494140331116E-001,-6.678880588050965E-001,-7.104352057932085E-001,-6.682923401291423E-001,-7.104496955871582E-001,-6.681999564170837E-001,-7.107567764282228E-001,-6.681465297698975E-001,-7.110666975975037E-001,-6.678606020927429E-001,
1.430000000000000E+009,-7.164377779305911E-001,-6.616166789678775E-001,-7.157784451347118E-001,-6.620949616553646E-001,-7.160437703132629E-001,-6.620935201644898E-001,-7.161601974487304E-001,-6.619458953475954E-001,-7.164719617843629E-001,-6.615948612213136E-001,
1.435000000000000E+009,-7.218252076255434E-001,-6.548577865959596E-001,-7.210374169529502E-001,-6.553273066101855E-001,-7.212930321693420E-001,-6.553581357002258E-001,-7.214421059608461E-001,-6.551503623962403E-001,-7.218122042655946E-001,-6.548353449821474E-001,
1.440000000000000E+009,-7.274233173208435E-001,-6.489384202245974E-001,-7.267375993173968E-001,-6.494798029785998E-001,-7.268769741058350E-001,-6.494701504707336E-001,-7.270352205657960E-001,-6.492337119865418E-001,-7.274452621459963E-001,-6.489426482200623E-001,
1.445000000000000E+009,-7.330199799913942E-001,-6.426968933794800E-001,-7.323052686074233E-001,-6.433221663253870E-001,-7.321565151214600E-001,-6.431645750999451E-001,-7.325906476020814E-001,-6.430686234283449E-001,-7.329948773384095E-001,-6.427260602951052E-001,
1.450000000000000E+009,-7.386797156684999E-001,-6.364716736213868E-001,-7.379251719633484E-001,-6.371381144782419E-001,-7.380732893943787E-001,-6.369771361351013E-001,-7.382729021644593E-001,-6.368586030769349E-001,-7.386668550491334E-001,-6.364290755271913E-001,
