% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,
1.430000000000000E+009,-7.165736335222396E-001,-6.617078843133293E-001,-7.161106782497564E-001,-6.632751630992464E-001,-7.166767407860633E-001,-6.622859933480100E-001,-7.165469854542919E-001,-6.617699007181062E-001,
1.435000000000000E+009,-7.219404091816895E-001,-6.549318177057805E-001,-7.215242169856211E-001,-6.564605106200429E-001,-7.220086745820490E-001,-6.554635145920155E-001,-7.219171377012313E-001,-6.548935792696831E-001,
1.440000000000000E+009,-7.275547122573014E-001,-6.490167074319083E-001,-7.271910817848055E-001,-6.505896003779460E-001,-7.277035616513666E-001,-6.495080063253730E-001,-7.275638585885514E-001,-6.489811702420554E-001,
1.445000000000000E+009,-7.331269915822942E-001,-6.427498914032443E-001,-7.327591993132323E-001,-6.443833229083813E-001,-7.332211819925926E-001,-6.433377485796346E-001,-7.331166227773185E-001,-6.427365451576260E-001,
1.450000000000000E+009,-7.389283823980726E-001,-6.364556388225950E-001,-7.384964909635376E-001,-6.380660433632046E-001,-7.389488013314701E-001,-6.370364212570771E-001,-7.388307138864378E-001,-6.364561907682675E-001,
1.455000000000000E+009,-7.444881874944285E-001,-6.301951307561738E-001,-7.440761650989723E-001,-6.318807209487953E-001,-7.445460867737683E-001,-6.308062616044223E-001,-7.444068923553401E-001,-6.301973344223456E-001,
1.460000000000000E+009,-7.496524304213730E-001,-6.240188891308042E-001,-7.493426402060753E-001,-6.256184006635295E-001,-7.498269807296192E-001,-6.245536429216794E-001,-7.496061905446920E-001,-6.239346939145944E-001,
1.465000000000000E+009,-7.544327234811469E-001,-6.178782942318349E-001,-7.540714627234300E-001,-6.195514328940871E-001,-7.544942744640937E-001,-6.184967152631234E-001,-7.543641760475031E-001,-6.179287295374032E-001,
1.470000000000000E+009,-7.595501719066726E-001,-6.117514805296029E-001,-7.591119313693775E-001,-6.134560356856288E-001,-7.596023287275675E-001,-6.122708916905151E-001,-7.594932809734676E-001,-6.117704953322083E-001,
1.475000000000000E+009,-7.646140491584222E-001,-6.053316766186569E-001,-7.642700016641714E-001,-6.070684412609348E-001,-7.648095162953731E-001,-6.058925729798800E-001,-7.645779532578443E-001,-6.054346798065549E-001,
1.480000000000000E+009,-7.697470836434872E-001,-5.990316177846282E-001,-7.695313443264567E-001,-6.008380629326244E-001,-7.699166876940009E-001,-5.996724838917131E-001,-7.697452101596289E-001,-5.991407457105069E-001,
1.485000000000000E+009,-7.748604252013810E-001,-5.922460240978831E-001,-7.746730204692389E-001,-5.940123376280969E-001,-7.750783360639747E-001,-5.927689391036310E-001,-7.748747595654654E-001,-5.922738034368703E-001,
1.490000000000000E+009,-7.800046400333270E-001,-5.859364943735712E-001,-7.797732778898791E-001,-5.876822471782218E-001,-7.801689251905960E-001,-5.864522724923968E-001,-7.799554581856977E-001,-5.859129281296387E-001,
1.495000000000000E+009,-7.849231728368851E-001,-5.792893546833247E-001,-7.846814378658772E-001,-5.810388347697796E-001,-7.851118273521925E-001,-5.797995508011229E-001,-7.848260726963848E-001,-5.793469882074133E-001,
1.500000000000000E+009,-7.899407215874388E-001,-5.727913093054546E-001,-7.897600873248216E-001,-5.744887535086237E-001,-7.900850622383663E-001,-5.732924547509755E-001,-7.899017716847206E-001,-5.728198226582517E-001,
1.505000000000000E+009,-7.949091694429560E-001,-5.663920488530368E-001,-7.947178327583591E-001,-5.680731328220269E-001,-7.950794844100804E-001,-5.668672310017400E-001,-7.948654330831861E-001,-5.664042277100568E-001,
1.510000000000000E+009,-7.999286027960937E-001,-5.597585920378796E-001,-7.998080138881392E-001,-5.614340359601676E-001,-8.000987961137107E-001,-5.602608583149886E-001,-7.999430412965835E-001,-5.598152423432530E-001,
1.515000000000000E+009,-8.045780322268834E-001,-5.530695703630874E-001,-8.044732692043198E-001,-5.547794735657092E-001,-8.047917226033255E-001,-5.535837974936049E-001,-8.045701955368630E-001,-5.531787040017904E-001,
1.520000000000000E+009,-8.094425677933741E-001,-5.463498148300885E-001,-8.093798612696727E-001,-5.481233409467965E-001,-8.097058229017073E-001,-5.468295345846671E-001,-8.093847935570512E-001,-5.464321883106080E-001,
1.525000000000000E+009,-8.137182479574318E-001,-5.398134353536837E-001,-8.137116137324041E-001,-5.416294640919952E-001,-8.140410905832836E-001,-5.402829381007772E-001,-8.137528690570093E-001,-5.399021207553633E-001,
1.530000000000000E+009,-8.179498022354133E-001,-5.328427950527780E-001,-8.179023536057506E-001,-5.345951096735205E-001,-8.181707196510930E-001,-5.332849202726171E-001,-8.180007578602959E-001,-5.328824180869040E-001,
1.535000000000000E+009,-8.219982756002608E-001,-5.261108653124550E-001,-8.219646693254898E-001,-5.279167703628266E-001,-8.222547241010063E-001,-5.265227933668263E-001,-8.220212909578110E-001,-5.261629397213543E-001,
1.540000000000000E+009,-8.258369676221480E-001,-5.190928068329948E-001,-8.258064981434694E-001,-5.210445523510252E-001,-8.260623978136300E-001,-5.196108877674681E-001,-8.257303131501376E-001,-5.191477033095728E-001,
1.545000000000000E+009,-8.295947606927896E-001,-5.120668693593082E-001,-8.296055205988773E-001,-5.141335195723586E-001,-8.298824377109569E-001,-5.126015595704481E-001,-8.295198347019883E-001,-5.121631621533377E-001,
1.550000000000000E+009,-8.334178503414352E-001,-5.050544032797819E-001,-8.334419728175997E-001,-5.071786269389274E-001,-8.337827275106846E-001,-5.056179950641295E-001,-8.334404308469007E-001,-5.051705577278881E-001,
1.555000000000000E+009,-8.373446979979113E-001,-4.982130845899977E-001,-8.373711809562627E-001,-5.004392874491033E-001,-8.376489656666017E-001,-4.987336771662697E-001,-8.373213443545513E-001,-4.983081184709887E-001,
1.560000000000000E+009,-8.413301079001809E-001,-4.909626043999999E-001,-8.414250035992331E-001,-4.934441487593962E-001,-8.416691529484117E-001,-4.915444979659402E-001,-8.413145338524395E-001,-4.910912662568064E-001,
1.565000000000000E+009,-8.446826142527013E-001,-4.834893419995698E-001,-8.449311667694137E-001,-4.860785425140763E-001,-8.451052556329385E-001,-4.840569554833943E-001,-8.447346640861555E-001,-4.835994506532381E-001,
1.570000000000000E+009,-8.480408894420359E-001,-4.761832717472925E-001,-8.485454729091804E-001,-4.789297490437043E-001,-8.485871987664518E-001,-4.767945547301971E-001,-8.480390381089278E-001,-4.763034741882929E-001,
