% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.295000000000000E+009,-5.355923789741887E-001,-8.155457264702487E-001,-5.487401993047815E-001,-8.099727668766211E-001,-5.492967676939875E-001,-8.086592370612512E-001,-5.496115517616272E-001,-8.083637475967408E-001,
1.300000000000000E+009,-5.417808425536519E-001,-8.107022253896675E-001,-5.546553278971915E-001,-8.050876473267772E-001,-5.551612407707898E-001,-8.038061924269535E-001,-5.554804873466492E-001,-8.035437107086183E-001,
1.305000000000000E+009,-5.481943320240075E-001,-8.059439275560368E-001,-5.608607494961972E-001,-8.003005742454730E-001,-5.612428898335420E-001,-7.990140166139728E-001,-5.616720080375672E-001,-7.987419152259828E-001,
1.310000000000000E+009,-5.543140246971562E-001,-8.012579584136015E-001,-5.666673868133183E-001,-7.956597153856421E-001,-5.670951093595527E-001,-7.944266741208974E-001,-5.674216365814210E-001,-7.941515731811525E-001,
1.315000000000000E+009,-5.605880575570525E-001,-7.968936477476460E-001,-5.726692262171724E-001,-7.912027458229989E-001,-5.730271550562192E-001,-7.899422201791750E-001,-5.733463001251221E-001,-7.897012448310853E-001,
1.320000000000000E+009,-5.671066917273259E-001,-7.925045791456793E-001,-5.789083444084067E-001,-7.867978046194277E-001,-5.793156958621794E-001,-7.855981079578515E-001,-5.796877050399781E-001,-7.853523349761965E-001,
1.325000000000000E+009,-5.737367403460827E-001,-7.880406721151909E-001,-5.852387547108480E-001,-7.823807172342397E-001,-5.856389771538535E-001,-7.811509443262735E-001,-5.860868930816651E-001,-7.809290361404421E-001,
1.330000000000000E+009,-5.807354759583254E-001,-7.834746512753776E-001,-5.919837675014439E-001,-7.777871673212180E-001,-5.924007410746472E-001,-7.765712259868896E-001,-5.928265452384949E-001,-7.763367748260499E-001,
1.335000000000000E+009,-5.870475588359181E-001,-7.786131417136649E-001,-5.981188605146863E-001,-7.729863214292063E-001,-5.984586970756800E-001,-7.717168039123388E-001,-5.988723444938661E-001,-7.714830732345581E-001,
1.340000000000000E+009,-5.935689301971798E-001,-7.737906597957259E-001,-6.044344694068937E-001,-7.681620089400844E-001,-6.047449360765889E-001,-7.669450858366921E-001,-6.050441765785218E-001,-7.665809535980227E-001,
