% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.260000000000000E+009,-4.958578064047030E-001,-8.352326662021699E-001,-4.960140091544123E-001,-8.344248089412142E-001,-4.965740581059255E-001,-8.348244167256218E-001,-4.958381545460651E-001,-8.352564903562514E-001,
1.265000000000000E+009,-5.022865936828875E-001,-8.314592778504762E-001,-5.025004613913831E-001,-8.307282518368866E-001,-5.029790368329482E-001,-8.309783324558855E-001,-5.022381935074174E-001,-8.314806100161307E-001,
1.270000000000000E+009,-5.098346718329225E-001,-8.268015607645848E-001,-5.100382063083297E-001,-8.261202207979788E-001,-5.104908537238125E-001,-8.263140973327652E-001,-5.097224335731396E-001,-8.268272482634352E-001,
1.275000000000000E+009,-5.161545432837550E-001,-8.222485695905449E-001,-5.164448230856673E-001,-8.216322248460625E-001,-5.168269947026375E-001,-8.217341587884300E-001,-5.161755461323877E-001,-8.222759133595803E-001,
1.280000000000000E+009,-5.227443590674168E-001,-8.177080155275296E-001,-5.231594742930841E-001,-8.171600614981905E-001,-5.234169493858684E-001,-8.172277679960889E-001,-5.227177690249247E-001,-8.177402131545313E-001,
1.285000000000000E+009,-5.293190875938089E-001,-8.134362218679612E-001,-5.298192015985304E-001,-8.129078870406944E-001,-5.300002337245862E-001,-8.129353510511306E-001,-5.293188303650541E-001,-8.134440599424487E-001,
1.290000000000000E+009,-5.359794032642213E-001,-8.085642170687482E-001,-5.366133317010758E-001,-8.080843522889929E-001,-5.366955407386386E-001,-8.080368058820975E-001,-5.360210065755571E-001,-8.086007653943097E-001,
1.295000000000000E+009,-5.420572389270071E-001,-8.038594860606335E-001,-5.427095623917718E-001,-8.032901610657752E-001,-5.427288697069456E-001,-8.032793710405595E-001,-5.420578310405583E-001,-8.038935145648690E-001,
1.300000000000000E+009,-5.484868234759565E-001,-7.988189688477514E-001,-5.492592077438301E-001,-7.982354494185421E-001,-5.492367837743044E-001,-7.983097422465524E-001,-5.485436458710404E-001,-7.988559902211068E-001,
1.305000000000000E+009,-5.540751007860696E-001,-7.941783983189242E-001,-5.549817287599377E-001,-7.935959751325985E-001,-5.547821921522889E-001,-7.935305089548026E-001,-5.540133936311525E-001,-7.941446261821795E-001,
1.310000000000000E+009,-5.601093917384592E-001,-7.894579108108647E-001,-5.612670002708659E-001,-7.888389268777127E-001,-5.608132932242880E-001,-7.888825915903651E-001,-5.600808980071390E-001,-7.894913900895684E-001,
1.315000000000000E+009,-5.655380163342287E-001,-7.849158789045181E-001,-5.669226717988597E-001,-7.841346760088295E-001,-5.662457721423810E-001,-7.842906914257135E-001,-5.655587342238211E-001,-7.849592891207655E-001,
1.320000000000000E+009,-5.718200426746926E-001,-7.808311700139685E-001,-5.733598929645216E-001,-7.797776974773983E-001,-5.726057156215423E-001,-7.802335310589839E-001,-5.718327197295973E-001,-7.808848182154866E-001,
1.325000000000000E+009,-5.781318963908593E-001,-7.764719958714386E-001,-5.796874466579063E-001,-7.750363627938230E-001,-5.788495756833079E-001,-7.758614255499172E-001,-5.780812649450150E-001,-7.765540556703277E-001,
1.330000000000000E+009,-5.845821063284166E-001,-7.722399235896788E-001,-5.859467785860681E-001,-7.705132463595752E-001,-5.853255325038889E-001,-7.716261459837629E-001,-5.845980755899037E-001,-7.723261737419890E-001,
1.335000000000000E+009,-5.906683941388314E-001,-7.675600063385322E-001,-5.918797204322575E-001,-7.656155547255044E-001,-5.914282361113082E-001,-7.669732035958098E-001,-5.906910212871838E-001,-7.676591236613213E-001,
1.340000000000000E+009,-5.972384125764162E-001,-7.627308194441178E-001,-5.981517103980075E-001,-7.606613754945368E-001,-5.980496168421638E-001,-7.620699684635297E-001,-5.972397701890662E-001,-7.627554151603618E-001,
1.345000000000000E+009,-6.036705119259098E-001,-7.577636894872285E-001,-6.042915734696740E-001,-7.557363097216974E-001,-6.043912994279308E-001,-7.570927965047398E-001,-6.036722102342720E-001,-7.577845899531961E-001,
